iso3c,year,cc_est,ge_est,pv_est,rq_est,rl_est,va_est,state_capacity_wgi
BRA,2011,0.168382421,-0.15240407,-0.132575423,0.25802207,0.045141723,0.513676167,0.07978553599999999
BRA,2012,-0.046854232,-0.160548672,0.045961641,0.173244089,-0.076932795,0.477906197,-0.027772902500000002
BRA,2013,-0.097959608,-0.119030975,-0.258553296,0.146290123,-0.092045203,0.417397052,-0.04068641575
BRA,2014,-0.36611709,-0.175920635,-0.070290133,-0.028219953,-0.05296576,0.471930146,-0.15580585949999998
BRA,2015,-0.457840711,-0.255271554,-0.331864446,-0.181910038,-0.187332958,0.458871007,-0.27058881525
BRA,2016,-0.446095586,-0.249387071,-0.38103506,-0.189951748,-0.201301992,0.451975852,-0.27168409925000003
BRA,2017,-0.559814632,-0.317140609,-0.479947567,-0.130978867,-0.305428565,0.449531525,-0.32834066824999997
BRA,2018,-0.480954379,-0.520569623,-0.459598511,-0.293125451,-0.302342951,0.376852065,-0.39924810099999997
BRA,2019,-0.407892704,-0.234114677,-0.714224637,-0.121404096,-0.224319816,0.301444829,-0.24693282325
BRA,2020,-0.429083496,-0.465709209,-0.44689092,-0.111011527,-0.231919765,0.28739506,-0.30943099925
BRA,2021,-0.499217957,-0.492990375,-0.419879764,-0.121613994,-0.301417381,0.254508823,-0.35380992675
BRA,2022,-0.566354334,-0.588259339,-0.395036936,-0.220437631,-0.257879138,0.225268334,-0.40823261050000004
BRA,2023,-0.503643155,-0.546764314,-0.408567786,-0.296478212,-0.308802843,0.382853866,-0.413922131
CHL,2000,1.540218115,1.005559683,0.485464156,1.404732704,1.260923386,0.888868988,1.302858472
CHL,2002,1.479165316,1.078486919,1.088796377,1.318496346,1.257240057,1.087187409,1.2833471595
CHL,2003,1.167100906,1.100245118,0.761611938,1.333441377,1.177210808,1.056120157,1.19449955225
CHL,2004,1.305859327,1.117753029,0.691341698,1.367984176,1.16569674,1.225285053,1.239323318
CHL,2005,1.41652751,1.155609965,0.842383623,1.312464714,1.210211039,1.292520523,1.273703307
CHL,2006,1.412561893,0.93773818,0.613005877,1.423894644,1.181291223,1.08234477,1.2388714849999998
CHL,2007,1.345149994,1.186738372,0.406370878,1.485586524,1.195187569,1.104882002,1.30316561475
CHL,2008,1.317986846,1.062142253,0.431912959,1.502484918,1.210357308,1.01350832,1.27324283125
CHL,2009,1.321234822,1.137571573,0.602584422,1.427399278,1.194090486,1.016896248,1.2700740397499999
CHL,2010,1.441626906,1.157241821,0.67960453,1.415171146,1.225415707,1.095646262,1.309863895
CHL,2011,1.47659266,1.152272344,0.452553362,1.440535307,1.263338566,1.073909163,1.33318471925
CHL,2012,1.543591261,1.178443551,0.331102103,1.536198139,1.287656784,1.076945186,1.3864724337499998
