iso3c,year,gdp_pc,log_gdp_pc
NIC,2004,1098.621187,7.0018112061767726
NIC,2005,1183.30214,7.076064232890526
NIC,2006,1248.173716,7.129436734755397
NIC,2007,1350.381458,7.20814239300098
NIC,2008,1523.684371,7.328886609154211
NIC,2009,1467.082881,7.2910312734796054
NIC,2010,1526.56707,7.330776748320765
NIC,2011,1679.711921,7.4263775820984455
NIC,2012,1784.69836,7.4870046939396
NIC,2013,1835.439964,7.5150394941480805
NIC,2014,1958.370476,7.579868016632474
NIC,2015,2074.456206,7.637454328921023
NIC,2016,2131.687048,7.664668986518828
NIC,2017,2182.61381,7.688278432975017
NIC,2018,2035.165494,7.618332418403016
NIC,2019,1958.620515,7.579995685550229
NIC,2020,1938.447048,7.569642440771943
NIC,2021,2138.385885,7.667806564073407
NIC,2022,2322.89054,7.7505676115569075
NIC,2023,2609.444921,7.8668928037520685
NIC,2024,2847.539663,7.954210624284908
PAN,2000,3975.093103,8.287803448952504
PAN,2001,3991.776721,8.291991704253897
PAN,2002,4090.586165,8.316443555393917
PAN,2003,4264.664289,8.358118743814853
PAN,2004,4644.565812,8.443453172605535
PAN,2005,5017.741104,8.520735132131847
PAN,2006,5528.767059,8.61772011468535
PAN,2007,6317.817305,8.75112906435641
PAN,2008,7347.59049,8.902127713970891
PAN,2009,7796.926184,8.961484856033799
PAN,2010,8331.464223,9.027794496784738
PAN,2011,9662.295909,9.175986570706241
PAN,2012,11064.80637,9.311524753009849
PAN,2013,12273.3225,9.415183283446108
PAN,2014,13213.19896,9.488971530198373
PAN,2015,14082.65484,9.55269916591524
PAN,2016,14832.36117,9.604566638237317
PAN,2017,15694.62975,9.66107387868241
PAN,2018,16151.32734,9.689757513508829
PAN,2019,16477.90663,9.70977577051648
PAN,2020,13290.56084,9.49480935096738
PAN,2021,15509.80691,9.649227806705598
PAN,2022,17378.607,9.762995246009995
PAN,2023,18797.1934,9.84146285043955
PAN,2024,19161.21885,9.860643663802174
PER,2000,1945.413385,7.5732297707447644
PER,2001,1929.57273,7.5650538739703155
PER,2002,2007.370196,7.604580784203625
PER,2003,2129.441142,7.663614849629334
PER,2004,2397.251473,7.7820781404876636
PER,2005,2706.669473,7.903474181309736
PER,2006,3129.559965,8.048647687389042
PER,2007,3581.089308,8.183422309089853
PER,2008,4197.584446,8.342264506914903
PER,2009,4181.187555,8.33835058923587
PER,2010,5072.11494,8.531513157532215
PER,2011,5861.357936,8.676136585418712
PER,2012,6519.37853,8.782534332893036
PER,2013,6746.800257,8.816823635475991
PER,2014,6667.134104,8.804945377010034
PER,2015,6231.711503,8.73740629363565
PER,2016,6217.036,8.735048544826805
PER,2017,6736.166937,8.815246338423863
PER,2018,6978.491215,8.850588014081389
PER,2019,7037.008037,8.858938364071907
PER,2020,6133.325524,8.721492381667288
PER,2021,6826.202556,8.828523803213315
PER,2022,7350.630343,8.902541349482004
PER,2023,7887.541859,8.97303981384014
PER,2024,8452.371671,9.042202352094709
PRY,2000,1736.117292,7.459406457454046
PRY,2001,1637.686151,7.4010396410483255
PRY,2002,1367.765069,7.220933350247529
PRY,2003,1443.998852,7.275171524438605
PRY,2004,1786.215339,7.487854324717112
PRY,2005,1970.871699,7.586231210665649
PRY,2006,2439.431247,7.799520195624468
PRY,2007,3211.936217,8.07462921714844
PRY,2008,4384.954694,8.385934572711859
PRY,2009,3941.848155,8.279404967183849
PRY,2010,4750.962737,8.466102557965256
PRY,2011,5805.401545,8.66654406400499
PRY,2012,5642.169917,8.638024007556519
PRY,2013,6435.683427,8.769613319052915
PRY,2014,6652.254789,8.802711142195047
PRY,2015,5879.337923,8.679199436423776
PRY,2016,5775.159634,8.661321177259037
PRY,2017,6152.267115,8.724575929456156
PRY,2018,6258.449916,8.7416878161795335
PRY,2019,5821.181995,8.669258612029509
PRY,2020,5365.472207,8.587739667407815
PRY,2021,5976.931798,8.695662638017977
PRY,2022,6205.625954,8.733211571519341
PRY,2023,6299.990265,8.748303367140336
PRY,2024,6416.09709,8.766565281913152
SLV,2000,1982.870935,7.592301040672934
SLV,2001,2058.044591,7.6295115833118405
SLV,2002,2115.411874,7.657004812001013
SLV,2003,2207.830895,7.6997658170546
SLV,2004,2285.689074,7.734422821980773
SLV,2005,2447.391408,7.802778004881027
SLV,2006,2665.618072,7.888191231661426
SLV,2007,2830.656938,7.9482640972673595
SLV,2008,2983.248296,8.000768018060462
SLV,2009,2910.186518,7.975972453644153
SLV,2010,3040.07301,8.019636810559245
SLV,2011,3330.600495,8.11090789554603
SLV,2012,3497.912569,8.159921660697853
SLV,2013,3582.26694,8.18375110245705
SLV,2014,3666.012489,8.206859835104158
SLV,2015,3790.340891,8.240211238886557
SLV,2016,3901.34015,8.269075401296217
SLV,2017,4020.126714,8.299068702011816
SLV,2018,4183.54621,8.338914541449718
SLV,2019,4320.116715,8.371037698234305
SLV,2020,3997.192796,8.293347592724427
SLV,2021,4642.607431,8.443031433723792
SLV,2022,5074.602102,8.532003397289472
SLV,2023,5365.444914,8.587734580610537
SLV,2024,5579.659692,8.626883066418793
SUR,2000,1988.221729,7.594995914699312
SUR,2001,1714.648466,7.446963362496275
SUR,2002,2202.340682,7.697276020120247
SUR,2003,2516.10404,7.830466968316739
SUR,2004,2887.772173,7.968240609435563
SUR,2005,3453.428659,8.14712283072191
SUR,2006,5002.657987,8.517724647568395
SUR,2007,5530.176156,8.617974948620244
SUR,2008,6576.085463,8.791194932849862
SUR,2009,7129.576863,8.872007165644494
SUR,2010,7943.604828,8.980122459774709
SUR,2011,7949.888672,8.980913204028315
SUR,2012,8851.240507,9.088312898461526
SUR,2013,9043.192815,9.1097675785302
SUR,2014,9108.189054,9.116929183885205
SUR,2015,8813.617054,9.08405319698813
SUR,2016,5644.206106,8.63838483002388
SUR,2017,6049.521286,8.707734421613246
SUR,2018,6665.741805,8.804736524994226
SUR,2019,6629.667752,8.799309969103707
SUR,2020,4755.392217,8.467034456751277
SUR,2021,5029.848385,8.523145120492384
SUR,2022,6084.438767,8.713489768957622
SUR,2023,5521.976021,8.616491050032282
SUR,2024,6961.78956,8.84819184096826
URY,2000,6987.700988,8.851906880985279
URY,2001,6382.761047,8.761356048710105
URY,2002,4149.761403,8.330806118318932
